Devedor,TaxaDesemprego,MensalidadesEmDia,Bolsista,UnidadesCurriculares1SemestreAprovado,UnidadesCurriculares1SemestreAvaliacoes,UnidadesCurriculares2SemestreAvaliacoes,UnidadesCurriculares1SemestreGrau,UnidadesCurriculares2SemestreGrau
0,12.4,0,0,0,5,6,0.0,0.0
0,13.9,1,0,0,9,6,0.0,0.0
0,7.6,0,0,0,5,5,0.0,0.0
0,7.6,1,0,1,5,5,10.0,0.0
0,9.4,0,0,0,11,5,0.0,0.0
1,10.8,0,0,5,6,7,10.6,1.46666666666666e+16
0,7.6,1,0,4,8,8,11.25,10.5
0,7.6,1,0,2,8,8,10.0,16.0
0,7.6,1,0,5,7,6,10.8,0.0
0,11.1,1,0,3,11,12,12.0,10.0
1,12.4,0,0,5,10,19,12.5,13.5
0,11.1,1,0,6,8,7,1.14285714285714e+16,11.0
0,7.6,1,0,6,6,6,12.5,13.0
0,15.5,1,0,0,0,0,0.0,0.0
0,8.9,0,0,0,0,0,0.0,0.0
0,11.1,1,0,6,6,7,16.5,1.74285714285714e+16
0,11.1,1,0,0,0,0,0.0,0.0
1,11.1,1,1,4,5,5,11.0,0.0
1,12.7,0,1,1,6,0,11.0,0.0
0,7.6,0,0,2,8,7,11.5,10.5
0,12.4,1,0,2,6,6,13.0,0.0
0,11.1,1,0,0,0,0,0.0,0.0
0,12.4,1,0,0,5,6,0.0,0.0
0,10.8,1,0,6,8,7,1.31666666666666e+16,1.31666666666666e+16
0,13.9,1,0,7,8,8,14.85,15.2
0,11.1,1,1,7,7,9,1.24957142857142e+16,1.22428571428571e+16
1,9.4,0,0,5,5,5,11.2,11.25
1,8.9,0,0,7,12,14,1.35714285714285e+16,13.25
0,15.5,1,0,0,0,0,0.0,0.0
1,13.9,0,0,11,12,11,14.0,14625.0
0,15.5,0,0,11,11,8,1.17272727272727e+16,12.0
0,7.6,1,0,4,8,11,12.5,14.0
1,13.9,1,0,0,0,0,0.0,0.0
0,15.5,1,0,0,0,0,0.0,0.0
0,8.9,1,0,0,6,0,0.0,0.0
0,15.5,1,0,5,12,8,12.0,1.15714285714285e+16
1,15.5,0,0,3,8,7,1.36666666666666e+16,1.06666666666666e+16
1,10.8,0,0,0,6,9,0.0,0.0
0,9.4,1,0,4,14,9,14.25,13.2
0,9.4,0,0,0,0,2,0.0,0.0
0,10.8,1,0,0,0,0,0.0,0.0
0,9.4,1,1,7,8,8,1.49014285714285e+16,1.49014285714285e+16
0,8.9,0,0,7,12,5,11.0,10.6
0,10.8,0,0,0,5,0,0.0,0.0
0,15.5,0,0,0,0,0,0.0,0.0
0,12.4,0,0,4,9,12,11.25,11.0
0,10.8,1,1,6,8,11,1.21666666666666e+16,1.16666666666666e+16
0,7.6,1,0,4,5,5,15.0,13.75
0,15.5,1,0,0,0,0,0.0,0.0
0,10.8,0,0,3,9,15,1.16666666666666e+16,10.0
1,16.2,0,0,4,12,7,13.7,0.0
0,12.7,1,0,7,9,12,11.75,1.11428571428571e+16
0,15.5,1,1,6,6,7,14.0,1.38571428571428e+16
0,10.8,1,0,1,6,7,10.0,12.0
0,16.2,1,0,4,7,7,11.0,11.25
1,16.2,1,0,3,13,14,1.18333333333333e+16,10.0
0,16.2,1,0,4,12,14,11.5,1.23333333333333e+16
1,8.9,0,0,8,15,17,13.75,13.2
0,7.6,1,0,1,9,10,10.0,11.0
0,10.8,1,0,0,9,9,0.0,0.0
0,10.8,0,0,2,3,0,10.0,0.0
0,12.7,1,0,4,8,13,12.25,1.03333333333333e+16
1,10.8,0,0,3,8,14,1.06666666666666e+16,14.8
0,9.4,0,0,1,11,12,13.0,0.0
0,12.7,0,0,1,12,0,11.0,0.0
1,8.9,0,0,4,10,13,12.25,10.5
0,10.8,0,0,0,7,8,0.0,0.0
1,12.4,1,0,0,0,0,0.0,0.0
1,16.2,0,0,0,7,7,0.0,0.0
0,10.8,1,0,2,9,9,12.0,11.0
0,9.4,1,0,1,5,5,16.0,0.0
0,15.5,1,0,0,7,6,0.0,0.0
0,10.8,0,0,5,9,4,11.4,11.0
0,9.4,0,0,2,12,9,11.0,1.16666666666666e+16
0,12.7,0,0,4,10,6,11.75,10.0
0,16.2,1,0,1,11,7,10.0,13.0
1,12.4,1,0,0,0,0,0.0,0.0
0,9.4,0,0,3,11,10,13.0,11.8
0,11.1,1,1,0,7,16,0.0,10.0
1,13.9,1,0,0,5,7,0.0,14.0
0,12.4,1,0,0,0,0,0.0,0.0
0,10.8,1,0,1,8,9,10.0,0.0
0,7.6,1,0,2,7,6,10.0,12.0
0,8.9,1,0,0,7,0,0.0,0.0
0,9.4,0,0,4,8,8,12.5,11.8
0,9.4,0,0,0,12,0,0.0,0.0
0,12.4,1,0,6,10,9,1.36666666666666e+16,12.5
0,13.9,1,0,3,15,12,11.75,10.0
1,12.4,0,0,0,7,0,0.0,0.0
0,16.2,1,0,1,14,5,10.0,0.0
0,7.6,1,0,0,5,5,0.0,0.0
0,12.4,1,0,4,10,9,12.6,12.38
0,8.9,1,0,3,7,5,1.23333333333333e+16,0.0
0,8.9,0,0,0,0,0,0.0,0.0
0,16.2,1,0,7,8,9,12.65,1.34111111111111e+16
0,7.6,0,1,3,12,15,12.0,1.06666666666666e+16
0,10.8,1,1,4,11,14,12.0,11.0
1,7.6,0,0,1,14,13,10.0,0.0
0,10.8,0,0,0,9,10,0.0,12.0
0,15.5,1,0,5,14,13,11.5,11.0
1,12.7,0,1,6,6,8,1.18333333333333e+16,11.0
0,10.8,1,0,0,0,0,0.0,0.0
0,7.6,1,0,4,8,12,11.75,0.0
1,15.5,0,0,0,10,5,0.0,0.0
0,10.8,0,0,0,0,0,0.0,0.0
0,15.5,0,0,0,0,0,0.0,0.0
0,8.9,1,0,1,9,5,13.0,0.0
0,12.4,1,0,0,0,0,0.0,0.0
1,9.4,0,0,0,5,5,0.0,0.0
0,11.1,1,0,9,12,9,1.34545454545454e+16,13875.0
0,12.7,1,0,3,8,10,10.0,11.0
0,10.8,0,0,3,7,8,1.36666666666666e+16,1.13333333333333e+16
0,13.9,1,0,0,0,0,0.0,0.0
1,9.4,0,0,1,6,7,14.0,0.0
0,11.1,1,0,0,6,7,0.0,0.0
0,16.2,0,0,0,0,0,0.0,0.0
0,12.7,1,0,2,9,5,10.5,0.0
0,10.8,0,0,0,0,6,0.0,0.0
0,7.6,1,0,0,10,5,0.0,0.0
1,16.2,1,0,0,0,0,0.0,0.0
1,15.5,0,0,0,6,5,0.0,0.0
1,11.1,1,0,0,5,8,0.0,0.0
0,7.6,1,0,4,10,14,10.5,11.0
0,11.1,1,0,0,6,6,0.0,0.0
0,12.7,0,0,0,0,0,0.0,0.0
0,11.1,1,0,6,9,10,1.25714285714285e+16,1.28333333333333e+16
0,10.8,1,0,5,7,7,11.8,11.4
0,10.8,1,0,4,12,11,12.0,10.0
1,11.1,0,0,6,7,6,13.0,14.0
1,16.2,0,0,0,8,10,0.0,0.0
0,12.7,0,0,0,6,5,0.0,0.0
0,9.4,0,0,0,0,0,0.0,0.0
0,8.9,1,1,4,9,9,12.25,1.23333333333333e+16
0,12.4,1,0,3,12,12,11.5,1.36666666666666e+16
0,11.1,1,0,6,9,10,12.0,1.21666666666666e+16
0,10.8,1,0,0,0,0,0.0,0.0
0,11.1,1,1,0,5,5,0.0,0.0
0,9.4,0,0,0,5,0,0.0,0.0
0,15.5,1,0,4,15,16,10.5,12.5
0,8.9,1,0,2,7,11,13.0,10.0
0,10.8,1,0,3,6,6,11.0,0.0
0,9.4,1,0,0,12,0,0.0,0.0
1,12.7,1,0,2,11,9,12.5,11.5
1,15.5,0,0,2,17,13,14.5,0.0
0,12.4,1,1,4,10,8,13.2,0.0
0,8.9,1,1,5,11,14,1.21666666666666e+16,14.8
0,16.2,1,0,0,13,6,0.0,0.0
0,13.9,1,0,4,15,12,10.75,10.5
1,16.2,1,0,0,21,7,0.0,0.0
1,10.8,1,0,1,10,0,12.0,0.0
0,9.4,0,0,3,12,12,11.0,12.0
0,12.7,1,0,0,0,0,0.0,0.0
0,12.4,0,0,0,1,0,0.0,0.0
0,15.5,1,0,0,0,0,0.0,0.0
0,12.4,0,0,0,0,0,0.0,0.0
1,12.7,0,0,0,5,5,0.0,0.0
0,12.7,1,0,1,9,5,10.0,0.0
0,12.4,1,0,4,12,17,12.8,0.0
0,9.4,1,0,5,7,5,1.11666666666666e+16,11.0
1,15.5,0,0,6,6,10,12.5,12.6
1,12.7,0,0,7,11,11,1.13285714285714e+16,1.13285714285714e+16
0,11.1,1,0,0,14,14,0.0,0.0
1,10.8,0,0,2,14,14,12.0,1.16666666666666e+16
0,12.7,0,0,0,6,5,0.0,0.0
0,9.4,1,0,3,5,10,1.16666666666666e+16,10.8
0,16.2,1,0,0,0,0,0.0,0.0
0,10.8,1,0,1,12,10,10.0,0.0
0,8.9,1,0,0,8,9,0.0,0.0
0,7.6,1,0,4,11,16,12.25,12.0
0,7.6,0,0,0,5,5,0.0,0.0
0,10.8,0,0,0,5,10,0.0,0.0
0,12.7,0,0,0,8,8,0.0,0.0
0,9.4,1,0,0,5,0,0.0,0.0
0,7.6,1,0,0,0,0,0.0,0.0
0,13.9,1,0,0,0,0,0.0,0.0
1,16.2,0,0,0,8,10,0.0,0.0
0,7.6,0,0,0,5,5,0.0,0.0
1,13.9,0,0,5,17,11,13.0,11.75
0,12.4,1,0,5,10,9,11.4,13.75
1,7.6,0,0,3,7,8,13.0,12.0
0,13.9,1,0,0,9,10,0.0,11.0
0,10.8,1,1,5,9,8,12.0,11.2
0,10.8,1,0,2,13,11,10.5,12.0
0,15.5,1,0,1,6,8,11.0,0.0
0,9.4,1,0,0,0,0,0.0,0.0
1,9.4,0,1,0,0,0,0.0,0.0
0,9.4,1,0,4,10,7,12.0,11.8
1,16.2,1,0,4,6,6,11.25,1.13333333333333e+16
1,8.9,0,0,2,11,7,11.5,0.0
0,9.4,1,0,3,10,11,1.06666666666666e+16,12.5
0,9.4,0,0,0,9,5,0.0,0.0
0,15.5,1,0,3,21,15,1.26666666666666e+16,11.0
0,15.5,1,0,5,8,8,11.4,11.8
0,11.1,1,1,6,8,6,1.31666666666666e+16,13.0
0,12.7,0,0,6,18,14,10.25,11.25
0,12.7,1,0,6,16,15,1.25142857142857e+16,11.75
0,16.2,1,0,10,17,18,11.5,1.04444444444444e+16
0,15.5,0,0,1,5,5,10.0,0.0
0,9.4,1,0,4,9,7,12.5,11.0
0,7.6,0,0,3,6,5,12.0,12.75
1,16.2,1,0,0,11,5,0.0,0.0
1,13.9,0,0,0,5,4,0.0,0.0
1,9.4,1,0,0,5,5,0.0,0.0
0,10.8,1,0,5,5,11,11.4,11.0
0,8.9,1,0,0,0,0,0.0,0.0
0,15.5,1,0,7,10,15,12.9,1.21428571428571e+16
0,12.7,1,0,6,6,6,13.5,0.0
1,12.4,0,0,5,9,9,11.6,10.0
0,16.2,0,0,5,12,10,1.32857142857142e+16,12.0
0,10.8,0,0,5,5,13,10.4,0.0
0,11.1,1,0,0,0,0,0.0,0.0
0,16.2,1,0,3,11,17,1.19166666666666e+16,0.0
1,9.4,1,0,4,5,6,12.0,11.6
0,7.6,1,0,3,7,5,11.0,12.75
1,13.9,0,0,3,8,5,1.26666666666666e+16,0.0
0,7.6,1,0,0,0,0,0.0,0.0
0,7.6,1,0,0,0,0,0.0,0.0
0,12.7,0,0,0,0,0,0.0,0.0
0,10.8,1,0,0,0,0,0.0,0.0
0,7.6,1,0,0,5,5,0.0,0.0
0,16.2,1,0,7,7,9,1.61428571428571e+16,0.0
0,9.4,1,0,0,8,8,0.0,0.0
0,7.6,1,0,0,0,0,0.0,0.0
0,12.7,1,0,0,0,0,0.0,0.0
0,15.5,1,0,4,14,11,12.95,13125.0
0,12.4,0,0,5,10,7,12.16,11.34
0,7.6,1,0,0,9,8,0.0,14.5
0,16.2,1,0,0,7,7,0.0,0.0
0,9.4,1,0,3,11,9,1.13333333333333e+16,12.0
0,12.7,0,0,0,0,0,0.0,0.0
0,10.8,0,0,4,7,11,13.0,12.0
1,16.2,1,0,3,11,5,1.06666666666666e+16,12.5
0,10.8,0,0,2,7,9,11.0,1.14285714285714e+16
0,10.8,0,0,0,6,8,0.0,0.0
0,13.9,1,0,5,11,13,13.6,1.26666666666666e+16
0,15.5,1,0,6,8,7,1.37142857142857e+16,1.33333333333333e+16
1,16.2,0,0,3,10,11,1.16666666666666e+16,10.0
1,12.7,0,0,1,9,6,14.0,0.0
0,15.5,1,0,4,20,16,12.5,10.0
1,15.5,0,0,5,11,11,1.18333333333333e+16,11.5
0,15.5,0,0,0,6,8,0.0,0.0
1,13.9,0,0,0,0,0,0.0,0.0
0,12.7,1,0,13,18,15,1.15384615384615e+16,12.4
1,8.9,0,0,0,5,5,0.0,0.0
0,15.5,0,0,3,10,7,1.26666666666666e+16,0.0
0,12.7,1,1,0,0,0,0.0,0.0
0,15.5,1,0,0,6,0,0.0,0.0
1,15.5,0,0,3,9,8,1.43333333333333e+16,14.0
0,12.4,1,0,0,0,0,0.0,0.0
